Regione, Mese;Numero medio vaccinazioni
(ABR,Gennaio);16
(ABR,Febbraio);33
(ABR,Marzo);79
(ABR,Aprile);124
(ABR,Maggio);187
(BAS,Gennaio);17
(BAS,Febbraio);32
(BAS,Marzo);54
(BAS,Aprile);94
(BAS,Maggio);143
(CAL,Gennaio);12
(CAL,Febbraio);19
(CAL,Marzo);50
(CAL,Aprile);84
(CAL,Maggio);144
(CAM,Gennaio);103
(CAM,Febbraio);142
(CAM,Marzo);275
(CAM,Aprile);531
(CAM,Maggio);948
(EMR,Gennaio);40
(EMR,Febbraio);42
(EMR,Marzo);104
(EMR,Aprile);161
(EMR,Maggio);198
(FVG,Gennaio);25
(FVG,Febbraio);35
(FVG,Marzo);64
(FVG,Aprile);99
(FVG,Maggio);160
(LAZ,Gennaio);32
(LAZ,Febbraio);46
(LAZ,Marzo);111
(LAZ,Aprile);157
(LAZ,Maggio);246
(LIG,Gennaio);11
(LIG,Febbraio);14
(LIG,Marzo);36
(LIG,Aprile);68
(LIG,Maggio);66
(LOM,Gennaio);85
(LOM,Febbraio);115
(LOM,Marzo);260
(LOM,Aprile);492
(LOM,Maggio);700
(MAR,Gennaio);23
(MAR,Febbraio);35
(MAR,Marzo);92
(MAR,Aprile);162
(MAR,Maggio);191
(MOL,Gennaio);39
(MOL,Febbraio);55
(MOL,Marzo);176
(MOL,Aprile);218
(MOL,Maggio);282
(PAB,Gennaio);23
(PAB,Febbraio);30
(PAB,Marzo);37
(PAB,Aprile);68
(PAB,Maggio);100
(PAT,Gennaio);36
(PAT,Febbraio);52
(PAT,Marzo);109
(PAT,Aprile);171
(PAT,Maggio);230
(PIE,Gennaio);26
(PIE,Febbraio);34
(PIE,Marzo);62
(PIE,Aprile);112
(PIE,Maggio);139
(PUG,Gennaio);5
(PUG,Febbraio);8
(PUG,Marzo);18
(PUG,Aprile);36
(PUG,Maggio);52
(SAR,Gennaio);14
(SAR,Febbraio);17
(SAR,Marzo);54
(SAR,Aprile);96
(SAR,Maggio);131
(SIC,Gennaio);28
(SIC,Febbraio);32
(SIC,Marzo);79
(SIC,Aprile);113
(SIC,Maggio);194
(TOS,Gennaio);18
(TOS,Febbraio);30
(TOS,Marzo);57
(TOS,Aprile);96
(TOS,Maggio);129
(UMB,Gennaio);13
(UMB,Febbraio);15
(UMB,Marzo);58
(UMB,Aprile);97
(UMB,Maggio);126
(VDA,Gennaio);26
(VDA,Febbraio);36
(VDA,Marzo);48
(VDA,Aprile);105
(VDA,Maggio);128
(VEN,Gennaio);26
(VEN,Febbraio);27
(VEN,Marzo);88
(VEN,Aprile);121
(VEN,Maggio);170
